Organ	Species	Sex	Mouse	SC	FN	SBI	SBI_scaled
Bra	DOM	F	DOM11	DOM11Bra	H35129	5.24082298379216	0.583394651648951
Bra	DOM	F	DOM12	DOM12Bra	H35135	4.52758396252862	0.476684258471833
Bra	DOM	F	DOM13	DOM13Bra	H35141	6.72790642593175	0.805882841536226
Bra	DOM	F	DOM14	DOM14Bra	H35147	6.19994135408607	0.726891986127573
Bra	DOM	F	DOM15	DOM15Bra	H35153	8.02536141593783	1
Bra	DOM	F	DOM16	DOM16Bra	H35159	5.21763592909572	0.579925548515904
Bra	DOM	F	DOM17	DOM17Bra	H35171	6.02031033127475	0.700016707995642
Bra	DOM	F	DOM18	DOM18Bra	H35165	6.55715317821027	0.780335800982627
Bra	DOM	F	DOM19	DOM19Bra	H35177	5.45226808638259	0.615029754833334
Bra	DOM	M	DOM62	DOM62Bra	H35140	1.81109307262861	0.0702597608192033
Bra	DOM	M	DOM63	DOM63Bra	H35146	-1.14866429189008	-0.372560756091294
Bra	DOM	M	DOM64	DOM64Bra	H35152	-1.57155134431592	-0.435830490764433
Bra	DOM	M	DOM65	DOM65Bra	H35158	0.29074312492374	-0.157205557047148
Bra	DOM	M	DOM66	DOM66Bra	H35164	-1.84346549229592	-0.476512597009775
Bra	DOM	M	DOM67	DOM67Bra	H35170	-5.34239030960795	-1
Bra	DOM	M	DOM68	DOM68Bra	H35176	-0.64249364318516	-0.29683064693051
Bra	DOM	M	DOM69	DOM69Bra	H35182	-2.64321737363468	-0.596166507070123
Bra	DOM	M	DOM70	DOM70Bra	H35188	-1.59053261797505	-0.438670351056401
